filename,word count,unique words,ttr,lines,avg_word_length,longest words
text1.txt,29,28,0.966,6,5.17,обольстившие
text10.txt,64,61,0.953,15,5.03,рассчитал
text11.txt,56,53,0.946,15,5.12,убийственном
text12.txt,94,83,0.883,15,5.33,безнадежность
text13.txt,80,74,0.925,20,5.15,нетерпеливей
text14.txt,76,72,0.947,13,5.32,песнопеньем
text15.txt,199,156,0.784,24,4.42,прикоснулась
text16.txt,68,65,0.956,14,5.13,беззаконных
text17.txt,74,65,0.878,14,5.05,возрадовалось
text18.txt,114,97,0.851,30,4.89,громоклокочущий
text19.txt,95,82,0.863,25,4.82,расколдованные
text2.txt,88,81,0.920,12,5.35,первоприхотью
text20.txt,53,51,0.962,15,4.60,беспамятстве
text21.txt,60,55,0.917,15,4.83,зацеловывает
text22.txt,55,51,0.927,15,4.95,кощунственных
text23.txt,67,61,0.910,14,4.51,благородное
text24.txt,63,56,0.889,15,4.71,обагренной
text25.txt,144,130,0.903,25,4.90,расплавленная
text26.txt,66,56,0.848,12,4.41,затоскуешь
text27.txt,83,73,0.880,17,5.23,скороговоркой
text28.txt,79,72,0.911,20,5.06,благовещенью
text29.txt,40,39,0.975,14,4.70,благовещенье
text3.txt,36,35,0.972,13,4.78,нерадивый
text30.txt,39,34,0.872,12,5.33,гуслисамогуды
text31.txt,103,87,0.845,24,4.41,приоткрывшийся
text32.txt,59,51,0.864,14,4.36,единственная
text33.txt,49,43,0.878,15,5.00,дивнопевучее
text34.txt,60,55,0.917,14,4.43,изнеможенную
text35.txt,111,96,0.865,29,5.14,головокружительную
text36.txt,56,49,0.875,14,4.50,крестниками
text37.txt,60,57,0.950,19,4.78,расплавленною
text38.txt,52,50,0.962,19,5.65,«люлюлюшенысилюли
text39.txt,64,52,0.812,18,4.78,темнокрылатым
text4.txt,57,54,0.947,12,5.26,воспоминаний
text40.txt,30,30,1.000,11,5.73,страстотерпцам
text41.txt,90,77,0.856,19,5.56,бессмертного
text42.txt,93,76,0.817,24,4.80,опустошительный
text43.txt,38,37,0.974,9,5.37,сумасшедший
text44.txt,109,103,0.945,24,5.29,переупрямить
text45.txt,56,53,0.946,14,4.96,золотистый
text46.txt,66,61,0.924,14,4.55,черномахровых
text47.txt,63,62,0.984,19,5.05,бесприютным
text48.txt,100,72,0.720,30,4.92,колдовской
text49.txt,78,68,0.872,24,4.97,расплесканный
text5.txt,112,91,0.812,20,4.41,мягкоструйная
text50.txt,38,30,0.789,10,4.08,неистовому
text51.txt,65,62,0.954,14,4.69,октябрьской
text6.txt,113,97,0.858,16,4.73,перепевается
text7.txt,95,83,0.874,25,4.61,материнской
text8.txt,53,52,0.981,8,5.70,недозвучавшие
text9.txt,61,57,0.934,15,5.41,сладострастный
